card_id	filename	entity_type	wiki_page	file_title	source_url	source_revision	sha256	match_method	pixel_art	source_sha256	bundled_fallback
item.sinhaza_shroud_tier_1.22494	assets/e5d54de60e3695cace3fb4b592e45423a0cee771a3ae1924a55ef28e4bc6a542.png	ITEM	Sinhaza shroud tier 1	Sinhaza shroud tier 1 detail.png	https://oldschool.runescape.wiki/images/Sinhaza_shroud_tier_1_detail.png?c7344	page:;file:2021-08-21T23:00:25Z	e5d54de60e3695cace3fb4b592e45423a0cee771a3ae1924a55ef28e4bc6a542	category-index	false	9472ebad4a38b134c233b92f747489ec9b2cca525c94dae1ddd67c5bdceebb8e	true
item.sinhaza_shroud_tier_2.22496	assets/4b2c899b324edc8b06fdb9e9d6fb51d511fff7572e7a0c7f8eb99df38aaf4685.png	ITEM	Sinhaza shroud tier 2	Sinhaza shroud tier 2 detail.png	https://oldschool.runescape.wiki/images/Sinhaza_shroud_tier_2_detail.png?c7344	page:;file:2021-08-21T23:00:25Z	4b2c899b324edc8b06fdb9e9d6fb51d511fff7572e7a0c7f8eb99df38aaf4685	category-index	false	61a04347f9f7a929fd819a1735674877e019b2200c011a6ffe68870a62c3773e	true
item.sinhaza_shroud_tier_3.22498	assets/3490293ebcff68a5455afb63839945c354ff55932d8f76d3a31d10ee66ba9842.png	ITEM	Sinhaza shroud tier 3	Sinhaza shroud tier 3 detail.png	https://oldschool.runescape.wiki/images/Sinhaza_shroud_tier_3_detail.png?d100a	page:;file:2021-08-21T23:00:26Z	3490293ebcff68a5455afb63839945c354ff55932d8f76d3a31d10ee66ba9842	category-index	false	35695c51440d41a2b6f8930440d6492de2a9d64c70edcde266d29b8f1bb1ae4a	true
item.sinhaza_shroud_tier_4.22500	assets/2a4e61bafcb9ab0ffda26407a1ed905317da2a279a89758ae46ce156742ec90a.png	ITEM	Sinhaza shroud tier 4	Sinhaza shroud tier 4 detail.png	https://oldschool.runescape.wiki/images/Sinhaza_shroud_tier_4_detail.png?8befc	page:;file:2021-08-21T23:00:27Z	2a4e61bafcb9ab0ffda26407a1ed905317da2a279a89758ae46ce156742ec90a	category-index	false	95935a773e98f74fa0d6d24b458cb437459b8068c06d896aa657a09ce19e3dfe	true
item.sinhaza_shroud_tier_5.22502	assets/f53390e643f4f9d8dbe8fd1b85f8ccfa7e72462b4e50a9a98ac28581c6f0f34a.png	ITEM	Sinhaza shroud tier 5	Sinhaza shroud tier 5 detail.png	https://oldschool.runescape.wiki/images/Sinhaza_shroud_tier_5_detail.png?17a9e	page:;file:2021-08-21T23:00:28Z	f53390e643f4f9d8dbe8fd1b85f8ccfa7e72462b4e50a9a98ac28581c6f0f34a	category-index	false	162a2000dbb8ea95ffc65b73fd4665b87ec6b00319ac5b5c1037a2ff9b95ac6f	true
item.sinister_key.993	assets/d96b0da741dc7e0cc56c1982d4aba129c9ebdd13f52808ef4fe2ca20537e4b4b.png	ITEM	Sinister key	Sinister key detail.png	https://oldschool.runescape.wiki/images/thumb/Sinister_key_detail.png/130px-Sinister_key_detail.png	osrs-tcg-offline-cache	d96b0da741dc7e0cc56c1982d4aba129c9ebdd13f52808ef4fe2ca20537e4b4b	osrs-tcg-exact-display-name	false	d96b0da741dc7e0cc56c1982d4aba129c9ebdd13f52808ef4fe2ca20537e4b4b	true
item.skeletal_boots.6147	assets/f7b697e36f5d3b9b4ea18f19afc658768bfdcb4f94dd1e34d0203d44644eb047.png	ITEM	Skeletal boots	Skeletal boots detail.png	https://oldschool.runescape.wiki/images/Skeletal_boots_detail.png?15d44	page:;file:2021-03-30T01:25:43Z	f7b697e36f5d3b9b4ea18f19afc658768bfdcb4f94dd1e34d0203d44644eb047	category-index	false	ea330dea018214828c26130f4a158f4368ed4a454663a2e2b6bc4a73ba66796d	true
item.skeletal_bottoms.6141	assets/42ed2566daa7c0446c0c6adcbd6d2c39890d08889724b93d99d0d54bb8865e1b.png	ITEM	Skeletal bottoms	Skeletal bottoms detail.png	https://oldschool.runescape.wiki/images/Skeletal_bottoms_detail.png?c8823	page:;file:2021-03-30T01:25:48Z	42ed2566daa7c0446c0c6adcbd6d2c39890d08889724b93d99d0d54bb8865e1b	category-index	false	b07454b968a17aa0e60c6179c517a131ecd1db624e238ab27a967a55abb2c696	true
item.skeletal_gloves.6153	assets/59df974e82ef55dfc2d5a1363c94e698a7cd4e7c75934d29dcd1d3854439201c.png	ITEM	Skeletal gloves	Skeletal gloves detail.png	https://oldschool.runescape.wiki/images/Skeletal_gloves_detail.png?bccc7	page:;file:2021-03-30T01:25:49Z	59df974e82ef55dfc2d5a1363c94e698a7cd4e7c75934d29dcd1d3854439201c	category-index	false	e6d292e450a40d7156b27361670ccfcadbd8863cc72a32509f82621e39d0a52d	true
item.skeletal_helm.6137	assets/92c1111bf8867e28f74d6f6da25b6ea69c874bbbf3adff5dd507b641fdd2144c.png	ITEM	Skeletal helm	Skeletal helm detail.png	https://oldschool.runescape.wiki/images/Skeletal_helm_detail.png?bccc7	page:;file:2021-03-30T01:25:49Z	92c1111bf8867e28f74d6f6da25b6ea69c874bbbf3adff5dd507b641fdd2144c	category-index	false	6f0ad64569742cf4d4b1d995ace6069163655f207d23933cbf62c689a16ea9cb	true
item.skeletal_top.6139	assets/049cccac2bee60b2f487a2085eebc8741fd08ce8d3e423b1df28b97f3b053010.png	ITEM	Skeletal top	Skeletal top detail.png	https://oldschool.runescape.wiki/images/Skeletal_top_detail.png?c8823	page:;file:2021-03-30T01:25:48Z	049cccac2bee60b2f487a2085eebc8741fd08ce8d3e423b1df28b97f3b053010	category-index	false	a0af63a58dd632d1dcce0fbf760e9090fec6874f94bb868c552db09e5d984916	true
item.skeletal_visage.22006	assets/e37e3196660ad6c9bcd4b6eeeb0cb429f9e7514f323071f187902a63d3ae181f.png	ITEM	Skeletal visage	Skeletal visage detail.png	https://oldschool.runescape.wiki/images/thumb/Skeletal_visage_detail.png/130px-Skeletal_visage_detail.png	osrs-tcg-offline-cache	e37e3196660ad6c9bcd4b6eeeb0cb429f9e7514f323071f187902a63d3ae181f	osrs-tcg-exact-display-name	false	e37e3196660ad6c9bcd4b6eeeb0cb429f9e7514f323071f187902a63d3ae181f	true
item.skeleton_bonemeal.4270	assets/237e36324671bb83f08692ae5edcd0dec6d470f7d1c72ba983e6b285b3426851.png	ITEM	Skeleton bonemeal	Skeleton bonemeal detail.png	https://oldschool.runescape.wiki/images/Skeleton_bonemeal_detail.png?297df	page:;file:2021-08-21T23:00:34Z	237e36324671bb83f08692ae5edcd0dec6d470f7d1c72ba983e6b285b3426851	category-index	false	d874b574266b240553d32bc1d0ff2d6537f6768dfaa5ae5361c5cb049ffb2d4c	true
